timestamp,temperature,humidity,surface_pressure,wind_speed,elevation,slope_degree,rainfall_1h,rainfall_3h,rainfall_6h,rainfall_12h,rainfall_24h,rainfall_3d,rainfall_7d,soil_moisture,hot_days_streak,flood_risk_target,landslide_risk_target,cyclone_risk_target,heatwave_risk_target,drought_risk_target
2018-01-01,27.36,55.55,1028.49,22.17,1280.6,38.3,0.13,0.31,0.58,0.88,1.15,1.45,2.0,0.05,0,0,1,0,0,2
2018-01-01,24.05,28.13,996.86,100.01,1443.7,14.7,1.8,3.87,7.36,11.84,17.43,40.64,63.61,0.324,0,0,1,1,0,1
2018-01-01,8.27,76.47,1029.55,98.87,358.8,38.8,6.07,12.51,27.13,53.93,64.89,131.34,275.22,0.95,0,3,3,1,0,0
2018-01-01,24.84,89.13,971.96,44.06,54.8,32.9,1.98,4.25,9.19,14.32,22.26,42.74,72.06,0.678,0,1,1,1,0,0
2018-01-02,38.76,33.64,945.44,141.91,1336.0,23.8,1.63,3.11,5.4,7.73,13.77,23.4,51.15,0.122,1,0,0,3,1,2
2018-01-02,9.54,97.84,1027.1,76.98,799.5,18.3,4.98,12.35,18.46,31.3,41.6,52.55,94.33,0.95,0,1,1,1,0,0
2018-01-02,29.48,82.32,943.61,10.15,874.0,22.0,8.6,15.32,30.8,45.85,62.55,151.1,254.17,0.95,0,2,2,1,0,0
2018-01-02,23.42,74.7,992.92,137.24,849.9,41.5,4.39,6.16,10.87,12.48,20.25,39.35,63.24,0.561,0,0,2,2,0,1
2018-01-02,23.09,88.68,988.2,65.68,375.1,8.8,4.35,7.43,9.38,18.51,26.44,62.87,132.7,0.95,0,1,1,1,0,0
2018-01-02,9.6,76.31,991.72,144.27,2303.2,31.4,1.82,4.28,6.92,7.93,12.97,27.54,49.29,0.614,0,0,1,2,0,1
2018-01-03,46.82,36.49,954.3,10.38,2123.7,19.5,4.65,9.05,12.7,16.81,25.17,49.66,98.05,0.368,3,1,1,1,2,2
2018-01-04,22.61,62.5,945.68,151.1,1245.7,10.9,0.19,0.26,0.42,0.76,1.27,3.06,5.4,0.122,0,0,0,3,0,2
2018-01-04,40.21,21.78,991.19,74.45,448.4,10.0,12.7,16.74,25.15,49.3,71.82,101.17,157.48,0.757,8,2,2,1,2,0
2018-01-04,8.06,38.77,982.0,80.22,44.2,10.7,0.12,0.25,0.5,0.92,1.27,1.9,3.29,0.135,0,0,0,1,0,2
2018-01-04,34.8,24.9,1018.1,45.83,132.6,13.7,0.63,0.86,1.17,1.69,2.61,3.55,5.03,0.05,0,0,0,0,0,3
2018-01-04,15.01,70.86,1022.87,117.17,1202.5,49.8,0.85,1.75,3.28,3.75,4.68,6.71,9.76,0.269,0,0,1,1,0,2
2018-01-04,23.41,56.97,940.86,91.52,226.9,32.7,6.68,13.01,21.96,27.29,45.28,57.11,100.56,0.721,0,2,2,2,0,0
2018-01-04,29.42,93.73,951.0,66.24,1751.7,18.1,3.12,5.44,11.07,18.96,23.83,30.28,37.71,0.426,0,0,1,2,0,1
2018-01-05,8.45,26.18,952.88,70.62,2257.4,14.1,2.55,5.87,8.09,13.23,23.58,49.71,90.53,0.65,0,1,1,2,0,0
2018-01-05,36.4,59.1,1025.08,123.03,1511.3,22.7,0.19,0.26,0.48,0.55,0.68,1.05,1.74,0.05,6,0,0,1,2,3
2018-01-06,39.52,83.37,947.42,81.08,1782.6,39.5,1.83,4.4,6.28,7.32,11.79,14.39,29.07,0.215,8,0,1,2,3,2
2018-01-06,28.23,84.78,943.7,16.28,1586.2,35.2,1.45,3.44,6.89,8.81,14.34,30.09,55.34,0.511,0,0,1,1,0,1
2018-01-06,44.31,78.97,945.1,144.65,2178.0,45.0,1.44,2.27,3.3,6.48,8.83,11.08,14.69,0.05,4,0,1,3,3,3
