timestamp,latitude,longitude,temperature,humidity,surface_pressure,wind_speed,elevation,slope_degree,rainfall_1h,rainfall_3h,rainfall_6h,rainfall_12h,rainfall_24h,rainfall_3d,rainfall_7d,soil_moisture,hot_days_streak,flood_risk_target,landslide_risk_target,cyclone_risk_target,heatwave_risk_target,drought_risk_target
2018-01-01,26.0356,-80.424,24.97,66.26,1003.02,54.94,412.5,20.1,2.46,4.33,5.33,9.25,12.4,19.24,27.19,0.244,0,0,0,1,0,1
2018-01-01,18.4106,-65.6706,23.21,75.58,1018.23,104.65,621.1,32.5,1.23,2.54,5.23,8.77,14.94,17.97,34.46,0.348,0,0,1,1,0,1
2018-01-01,28.1458,77.2282,16.09,90.19,1014.6,74.08,987.9,11.7,4.58,6.22,11.27,19.99,25.19,56.42,69.58,0.699,0,1,1,1,0,0
2018-01-01,18.0104,-66.4467,28.66,58.25,953.88,68.47,1254.8,22.8,5.24,7.3,13.98,23.67,40.96,67.51,92.93,0.585,0,1,1,2,0,1
2018-01-01,13.343,100.6552,46.32,95.58,987.04,84.93,1603.3,18.3,3.8,6.91,8.51,15.17,26.67,32.84,65.33,0.422,6,0,1,1,3,2
2018-01-01,16.0781,81.5081,44.43,42.18,956.27,38.25,1863.3,46.6,2.2,3.45,5.47,7.35,9.4,17.98,21.86,0.05,9,0,1,1,3,3
2018-01-02,16.6725,81.3928,15.06,85.91,985.86,39.83,2090.1,21.7,2.53,4.13,7.16,8.81,12.1,28.6,41.7,0.514,0,0,1,1,0,1
2018-01-02,35.5667,139.4501,41.22,42.71,961.93,82.09,1876.9,29.1,11.28,26.49,53.3,82.73,135.49,209.5,371.94,0.95,6,3,3,2,2,0
2018-01-02,25.3573,83.1782,13.37,42.43,1004.38,70.16,772.3,42.8,0.03,0.07,0.12,0.14,0.16,0.23,0.5,0.074,0,0,1,1,0,2
2018-01-02,-6.2527,106.6901,44.87,73.86,947.91,147.17,174.0,29.1,1.75,4.16,8.45,13.34,21.22,46.39,93.72,0.514,6,1,1,3,3,2
2018-01-02,15.5015,76.0386,44.37,80.74,1010.22,118.79,1367.5,45.7,6.24,10.78,20.14,38.24,65.38,78.55,152.22,0.915,7,2,3,1,3,0
2018-01-03,23.7355,90.763,26.4,38.13,962.86,66.44,804.6,37.9,4.82,7.86,16.45,30.91,53.86,102.54,165.33,0.95,0,2,3,2,0,0
2018-01-03,19.2572,72.4148,35.38,91.41,955.39,150.24,563.3,8.9,0.43,1.03,1.76,2.32,3.07,7.18,15.08,0.188,2,0,0,3,1,2
2018-01-04,16.0865,81.2236,10.26,96.95,997.21,125.54,1402.3,37.9,1.99,3.77,6.77,12.33,13.86,18.44,34.86,0.565,0,0,1,2,0,1
2018-01-05,30.4256,-89.7017,27.39,82.18,984.05,147.19,2034.3,16.3,1.79,3.06,5.4,7.18,12.77,24.65,39.43,0.371,0,0,0,2,0,1
