timestamp,latitude,longitude,temperature,humidity,surface_pressure,wind_speed,elevation,slope_degree,rainfall_1h,rainfall_3h,rainfall_6h,rainfall_12h,rainfall_24h,rainfall_3d,rainfall_7d,soil_moisture,hot_days_streak,flood_risk_target,landslide_risk_target,cyclone_risk_target,heatwave_risk_target,drought_risk_target,event_name,data_provenance,event_id,delta_wind_12h,delta_pressure_12h
2005-07-19,19.076,72.8777,29.7,58.71,1006.63,18.9,15.0,8.0,1.31,2.62,4.58,7.86,13.1,21.0,35.6,0.378,0,1,0,0,0,0,Mumbai Great Deluge 2005,Copernicus ERA5 Reanalysis (Open-Meteo Archive API),34,4.16,-0.95
2005-07-20,19.076,72.8777,29.7,60.38,1007.3,17.0,15.0,8.0,2.35,4.7,8.22,14.1,23.5,43.5,52.3,0.462,0,1,0,0,0,0,Mumbai Great Deluge 2005,Copernicus ERA5 Reanalysis (Open-Meteo Archive API),34,3.74,-0.85
2005-07-21,19.076,72.8777,29.7,62.56,1007.3,17.0,15.0,8.0,2.52,5.04,8.82,15.12,25.2,61.8,74.1,0.571,0,1,1,0,0,0,Mumbai Great Deluge 2005,Copernicus ERA5 Reanalysis (Open-Meteo Archive API),34,3.74,-0.85
2005-07-22,19.076,72.8777,29.4,63.17,1007.3,17.0,15.0,8.0,0.74,1.48,2.59,4.44,7.4,56.1,78.7,0.594,0,1,1,0,0,0,Mumbai Great Deluge 2005,Copernicus ERA5 Reanalysis (Open-Meteo Archive API),34,3.74,-0.85
2005-07-23,19.076,72.8777,29.4,63.99,1006.63,18.9,15.0,8.0,0.98,1.96,3.43,5.88,9.8,42.4,86.9,0.635,0,3,0,0,0,0,Mumbai Great Deluge 2005,Copernicus ERA5 Reanalysis (Open-Meteo Archive API),34,4.16,-0.95
2005-07-24,19.076,72.8777,29.4,65.28,1006.42,19.5,15.0,8.0,1.39,2.78,4.87,8.34,13.9,31.1,99.8,0.699,0,3,0,0,0,0,Mumbai Great Deluge 2005,Copernicus ERA5 Reanalysis (Open-Meteo Archive API),34,4.29,-0.98
2005-07-25,19.076,72.8777,29.4,67.38,1005.2,23.0,15.0,8.0,2.79,5.58,9.76,16.74,27.9,51.6,120.8,0.804,0,3,1,0,0,0,Mumbai Great Deluge 2005,Copernicus ERA5 Reanalysis (Open-Meteo Archive API),34,5.06,-1.15
2005-07-26,19.076,72.8777,29.4,73.25,1003.52,27.8,15.0,8.0,7.18,14.36,25.13,43.08,71.8,113.6,179.5,0.95,0,3,1,0,0,0,Mumbai Great Deluge 2005,Copernicus ERA5 Reanalysis (Open-Meteo Archive API),34,6.12,-1.39
2005-07-27,19.076,72.8777,28.4,78.24,1003.52,27.8,15.0,8.0,6.84,13.68,23.94,41.04,68.4,168.1,224.4,0.95,0,3,1,0,0,0,Mumbai Great Deluge 2005,Copernicus ERA5 Reanalysis (Open-Meteo Archive API),34,6.12,-1.39
2005-07-28,19.076,72.8777,28.4,79.26,1003.52,27.8,15.0,8.0,3.54,7.08,12.39,21.24,35.4,175.6,234.6,0.95,0,3,1,0,0,0,Mumbai Great Deluge 2005,Copernicus ERA5 Reanalysis (Open-Meteo Archive API),34,6.12,-1.39
